OrderID,OrderDate,Category,SubCategory,Region,Segment,Quantity,Sales,Profit
ORD-2888,2024-01-01,Office Supplies,Pens,East,Consumer,1,37.33,7.25
ORD-5039,2024-01-01,Office Supplies,Pens,East,Consumer,5,166.13,42.93
ORD-6136,2024-01-01,Office Supplies,Paper,East,Home Office,2,73.62,12.23
ORD-4765,2024-01-01,Office Supplies,Paper,Central,Consumer,7,230.74,34.06
ORD-3062,2024-01-01,Furniture,Tables,West,Home Office,1,293.82,30.13
ORD-2511,2024-01-01,Office Supplies,Storage,East,Consumer,4,172.77,36.43
ORD-2419,2024-01-01,Office Supplies,Binders,West,Corporate,7,250.6,51.45
ORD-2927,2024-01-01,Technology,Laptops,Central,Consumer,3,1455.32,236.05
ORD-3982,2024-01-01,Furniture,Chairs,East,Consumer,4,1146.19,146.11
ORD-1187,2024-01-01,Furniture,Desks,South,Consumer,6,1602.39,137.02
ORD-1748,2024-01-01,Technology,Laptops,Central,Home Office,5,2396.98,512.3
ORD-6842,2024-01-02,Furniture,Tables,West,Consumer,1,293.3,41.08
ORD-4871,2024-01-02,Technology,Monitors,West,Corporate,2,783.39,162.78
ORD-4867,2024-01-02,Technology,Laptops,Central,Consumer,5,2044.98,264.1
ORD-5591,2024-01-02,Technology,Accessories,West,Home Office,7,3251.76,553.96
ORD-1348,2024-01-02,Office Supplies,Pens,Central,Consumer,7,321.62,75.41
ORD-6167,2024-01-02,Furniture,Tables,South,Home Office,5,1733.54,188.91
ORD-6652,2024-01-02,Office Supplies,Paper,East,Corporate,2,90.88,18.42
ORD-6165,2024-01-02,Office Supplies,Storage,Central,Consumer,2,87.8,14.36
ORD-2007,2024-01-03,Technology,Monitors,West,Corporate,1,503.73,71.36
ORD-6129,2024-01-03,Office Supplies,Pens,Central,Corporate,2,70.55,16.1
ORD-6121,2024-01-03,Office Supplies,Storage,Central,Consumer,3,124.52,32.81
ORD-3585,2024-01-03,Office Supplies,Pens,Central,Consumer,3,132.56,37.41
ORD-6234,2024-01-03,Technology,Monitors,East,Corporate,4,1531.14,198.02
ORD-4443,2024-01-03,Technology,Monitors,West,Consumer,3,1616.89,290.22
ORD-3361,2024-01-03,Technology,Printers,Central,Home Office,6,3224.67,536.87
ORD-6292,2024-01-03,Office Supplies,Storage,West,Corporate,3,100.32,27.67
ORD-4775,2024-01-04,Technology,Accessories,Central,Home Office,2,877.67,157.52
ORD-1173,2024-01-04,Office Supplies,Paper,West,Home Office,7,224.13,55.7
ORD-3710,2024-01-04,Furniture,Tables,Central,Consumer,2,562.1,84.42
ORD-6395,2024-01-04,Office Supplies,Pens,South,Home Office,5,184.56,33.33
ORD-6683,2024-01-04,Technology,Accessories,South,Corporate,1,463.46,106.45
ORD-3849,2024-01-04,Furniture,Tables,South,Corporate,3,997.65,147.21
ORD-2119,2024-01-04,Technology,Laptops,West,Corporate,4,1764.51,358.12
ORD-6532,2024-01-04,Office Supplies,Paper,South,Corporate,1,45.48,8.29
ORD-5836,2024-01-05,Furniture,Tables,East,Home Office,4,1155.14,101.77
ORD-5700,2024-01-05,Office Supplies,Paper,East,Corporate,5,217.26,32.42
ORD-3459,2024-01-05,Office Supplies,Binders,East,Corporate,3,126.57,34.79
ORD-6476,2024-01-05,Technology,Printers,Central,Home Office,5,2075.72,346.07
ORD-6403,2024-01-06,Office Supplies,Storage,Central,Home Office,6,216.19,49.38
ORD-1817,2024-01-06,Furniture,Chairs,West,Home Office,6,1724.7,223.73
ORD-6323,2024-01-06,Technology,Accessories,Central,Consumer,7,3245.3,713.6
ORD-5574,2024-01-06,Technology,Printers,Central,Home Office,5,1992.17,273.02
ORD-3084,2024-01-06,Office Supplies,Pens,South,Consumer,1,42.75,6.4
ORD-6080,2024-01-06,Furniture,Chairs,South,Consumer,3,962.2,82.7
ORD-1869,2024-01-06,Office Supplies,Paper,South,Home Office,6,257.17,37.27
ORD-5562,2024-01-06,Technology,Accessories,East,Home Office,2,1073.39,137.02
ORD-1475,2024-01-06,Office Supplies,Pens,South,Corporate,7,252.55,36.32
ORD-1019,2024-01-06,Furniture,Chairs,West,Consumer,1,254.38,25.53
ORD-3615,2024-01-06,Office Supplies,Binders,West,Corporate,1,37.75,10.6
ORD-3289,2024-01-07,Technology,Printers,Central,Consumer,3,1164.96,216.14
ORD-5000,2024-01-07,Technology,Accessories,West,Home Office,3,1274.26,288.06
ORD-3143,2024-01-07,Technology,Monitors,South,Home Office,5,2434.41,325.77
ORD-4157,2024-01-07,Technology,Accessories,South,Corporate,2,806.05,148.27
ORD-1527,2024-01-07,Technology,Printers,West,Consumer,6,2182.16,462.95
ORD-3800,2024-01-07,Furniture,Chairs,South,Home Office,3,989.92,127.02
ORD-1207,2024-01-07,Furniture,Tables,South,Consumer,7,2061.18,189.27
ORD-1879,2024-01-07,Technology,Monitors,Central,Corporate,3,1359.73,148.13
ORD-1981,2024-01-07,Technology,Printers,Central,Corporate,3,1559.67,258.83
ORD-5495,2024-01-07,Office Supplies,Storage,West,Consumer,1,47.77,8.49
ORD-1272,2024-01-08,Technology,Accessories,West,Consumer,1,532.77,89.64
ORD-4945,2024-01-08,Office Supplies,Binders,East,Corporate,4,187.75,39.06
ORD-3569,2024-01-08,Furniture,Chairs,East,Corporate,6,2052.09,208.77
ORD-4367,2024-01-08,Technology,Printers,East,Corporate,4,2056.67,272.24
ORD-4701,2024-01-08,Furniture,Bookcases,East,Corporate,3,753.52,73.43
ORD-2522,2024-01-08,Office Supplies,Storage,Central,Corporate,3,99.5,20.69
ORD-4330,2024-01-08,Office Supplies,Storage,East,Corporate,3,135.85,25.24
ORD-5724,2024-01-09,Office Supplies,Storage,South,Corporate,2,67.25,19.21
ORD-4196,2024-01-09,Furniture,Chairs,West,Home Office,5,1764.62,153.86
ORD-5402,2024-01-09,Furniture,Desks,Central,Corporate,5,1626.21,188.79
ORD-3214,2024-01-09,Furniture,Desks,West,Consumer,1,300.72,35.39
ORD-4736,2024-01-09,Office Supplies,Pens,Central,Corporate,7,332.54,-39.84
ORD-5544,2024-01-09,Office Supplies,Pens,East,Corporate,1,39.8,9.11
ORD-5246,2024-01-09,Furniture,Desks,West,Consumer,6,1576.66,196.95
ORD-5600,2024-01-09,Office Supplies,Pens,South,Corporate,6,249.54,56.09
ORD-5502,2024-01-10,Office Supplies,Binders,East,Home Office,2,76.56,21.02
ORD-6171,2024-01-10,Technology,Monitors,East,Home Office,2,792.94,174.32
ORD-1654,2024-01-10,Technology,Monitors,South,Consumer,7,3273.49,512.38
ORD-2064,2024-01-10,Technology,Monitors,Central,Consumer,2,1010.02,116.5
ORD-4893,2024-01-10,Office Supplies,Pens,West,Corporate,1,32.62,5.93
ORD-5100,2024-01-10,Technology,Accessories,West,Home Office,2,866.13,194.04
ORD-4218,2024-01-10,Furniture,Bookcases,West,Consumer,2,506.31,77.09
ORD-3676,2024-01-10,Furniture,Chairs,East,Home Office,1,282.05,43.87
ORD-2839,2024-01-10,Office Supplies,Binders,Central,Home Office,4,173.97,39.61
ORD-3610,2024-01-11,Office Supplies,Pens,West,Consumer,7,252.75,59.02
ORD-5546,2024-01-11,Furniture,Chairs,Central,Corporate,7,1861.31,185.21
ORD-4358,2024-01-11,Technology,Laptops,East,Corporate,1,450.25,63.93
ORD-1497,2024-01-11,Technology,Accessories,East,Home Office,7,3354.73,508.97
ORD-6952,2024-01-11,Technology,Printers,South,Corporate,5,2378.51,335.14
ORD-6777,2024-01-11,Furniture,Desks,West,Home Office,2,690.76,80.23
ORD-5643,2024-01-11,Technology,Printers,Central,Consumer,6,2530.15,315.31
ORD-4366,2024-01-11,Office Supplies,Pens,Central,Consumer,6,255.43,70.64
ORD-2479,2024-01-11,Office Supplies,Pens,East,Corporate,3,133.79,34.62
ORD-4143,2024-01-11,Technology,Accessories,South,Home Office,1,420.45,47.79
ORD-4506,2024-01-11,Office Supplies,Paper,Central,Corporate,5,182.4,28.82
ORD-2764,2024-01-12,Furniture,Desks,South,Home Office,1,272.25,34.51
ORD-2382,2024-01-12,Office Supplies,Storage,East,Corporate,6,200.96,56.23
ORD-1534,2024-01-12,Furniture,Chairs,South,Consumer,7,2150.05,278.89
ORD-3594,2024-01-12,Technology,Monitors,Central,Home Office,2,1063.23,125.41
ORD-5493,2024-01-12,Office Supplies,Paper,Central,Corporate,1,43.29,8.67
ORD-1404,2024-01-13,Office Supplies,Binders,East,Corporate,5,181.25,-19.69
ORD-6928,2024-01-13,Office Supplies,Paper,West,Consumer,3,107.0,23.21
ORD-6360,2024-01-13,Furniture,Chairs,West,Home Office,2,594.63,54.43
ORD-5321,2024-01-13,Furniture,Bookcases,Central,Home Office,7,2134.92,200.58
ORD-5894,2024-01-13,Furniture,Bookcases,West,Home Office,1,247.44,24.16
ORD-4100,2024-01-13,Technology,Accessories,West,Corporate,5,2127.78,364.03
ORD-5042,2024-01-13,Office Supplies,Pens,South,Consumer,4,156.91,28.01
ORD-3464,2024-01-13,Furniture,Chairs,Central,Corporate,6,1569.24,113.44
